product_id,product_name,price,description,materials,dimensions,weight,etsy_url,category
21,"Teen stocking soap, Fake Doggy Poo, Soap Poop, Soap Gag or Prank, Gift Dog, Gift from the dog",7.5,"Realistic dog poop soap is the perfect gag gift. Makes a funny gift for vet, vet techs, dog walker, pet sitter and etc.

Each bar soap can be a wonderful decorative gift or decoration for your party.

Each piece of soap is made of safe glycerin soap with the addition of chia oil, flavoring of your choice and dye.

My detergent is handmade, please expect that the color may slightly (slightly) differ from the color of the listing photo.","glycerin, Shea butter, Propolice Glycol, colorant, fragrant",3.5 x 1.5,,https://www.etsy.com/listing/691439995/teen-stocking-soap-fake-doggy-poo-soap?ref=shop_home_active_30&crt=1,novelty/gag gift
22,"75 Pink Pumpkin Soap Party Favors, Halloween Party, Fall Wedding Favors, Girl Baby Shower, Bridal, Gender Reveal, Sprinkle, Mini pumpkin",157,"Are you planning an autumn pink pumpkin baby or bridal shower for girl? These pink pumpkins looks so gentle and wonderful so you just want keep them in your hands and look at them all the time. Please your girlfriend or daughter with this gift for baby shower or any other fall special occasion.
Juicy and bright pumpkin soap is just perfect! Each soap is handmade by me to order according to your choice of colors and aromas. Your order includes 1 package with 75 soaps (pumpkins). You will be delighted with charming pumpkins! If you need a different color or quantity  just let me know your request through personal message.

If you need a different pumpkin color, let me know in the message.

*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- Packaging *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*

Each soap is packaged in a separately put into a little plastic bag and tied with a ribbon. Traditionally, I select the color of the tape for the color of the soap, if you need a certain color, let me know.

*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- *-*-*-*-*-* Tags *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*

Write: 
1. Date of party 
2. Tag color option
3. Text that you wish


Soap made with skin safe colorants and fragrances. The soap contains goat milk, clear glycerin and Shea soap base. 

  


 
","Goat milk soap base, Clear glycerin soap base, Colorant, fragrance",1.5 x 1.5,1,https://www.etsy.com/listing/741166235/75-pink-pumpkin-soap-party-favors?ref=shop_home_active_18,seasons
23,"Christmas baby shower, Santa Hat Embeds, Beanie Soap, Girls Baby Shower Soap Favors, Winter Beanie Favors",1.8,"Are you planning this winter baby or bridal shower for a girl? These mini pink knit rimmed hat with pompom soaps  looks so gentle and wonderful so you just want keep them in your hands and look at them all the time. Please your girlfriend or daughter with this gift for baby shower or any other fall/winter special occasion.
Warm and bright knitted soap is just perfect and creates the mood for cozy hat! Each soap is handmade by me to order according to your choice of colors and aromas. Your order includes 1 package with 1 soap (hat). You will be delighted with charming hats! If you need a different color or quantity  just let me know your request through personal message.

 You can change the color of pom pom if you like. Please let me know in personal message about your choice of color.

If you need a different hat color, let me know in the message.

*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- Packaging *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*

Each soap is packaged in a separately put into a little plastic bag and tied with a ribbon. Traditionally, I select the color of the tape for the color of the soap, if you need a certain color, let me know.

*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- *-*-*-*-*-* Tags *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*

Write: 
1. Date of party 
2. Tag color option
3. Text that you wish


Soap made with skin safe colorants and fragrances. The soap contains goat milk, clear glycerin and Shea soap base. 

","Goat milk soap base, Clear glycerin soap base, Colorant, fragrance",1.5 x 1.5,1,https://www.etsy.com/listing/737644418/christmas-baby-shower-santa-hat-embeds?ref=shop_home_active_5,holidays
24,"25 Girls Baby Shower Soap Favors, 25 Pink Knit Hat Soaps, Christmas baby shower, Mini Knitted hat, Santa Hat Embeds",35,"Are you planning this winter baby or bridal shower for a girl? These mini pink knit rimmed hat with pompom soaps  looks so gentle and wonderful so you just want keep them in your hands and look at them all the time. Please your girlfriend or daughter with this gift for baby shower or any other fall/winter special occasion.
Warm and bright knitted soap is just perfect and creates the mood for cozy hat! Each soap is handmade by me to order according to your choice of colors and aromas. Your order includes 1 package with 25 soaps (hat). You will be delighted with charming hats! If you need a different color or quantity  just let me know your request through personal message.

 You can change the color of pom pom if you like. Please let me know in personal message about your choice of color.

If you need a different hat color, let me know in the message.

*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- Packaging *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*

Each soap is packaged in a separately put into a little plastic bag and tied with a ribbon. Traditionally, I select the color of the tape for the color of the soap, if you need a certain color, let me know.

*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- *-*-*-*-*-* Tags *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*

Write: 
1. Date of party 
2. Tag color option
3. Text that you wish


Soap made with skin safe colorants and fragrances. The soap contains goat milk, clear glycerin and Shea soap base. 

  


 
","Goat milk soap base, Clear glycerin soap base, Colorant, fragrance",1.5 x 1.5,1,https://www.etsy.com/listing/749999229/25-girls-baby-shower-soap-favors-25-pink?ref=shop_home_active_27,baby shower
25,"Baby shower set of 25 Pink Snowflakes and Hats Soap Party Favors, Girl Baby Shower, Winter baby shower set",50,"A set of hats and snowflakes is a wonderful choice for a gift to guests. A pretty knitted beanie with a bumbon and a snowflake add to the winter mood. 

If you need a different color, let me know in the message.

*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- Packaging *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*

Each soap is packaged in a separately put into a little plastic bag and tied with a ribbon. Traditionally, I select the color of the tape for the color of the soap, if you need a certain color, let me know.

*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- *-*-*-*-*-* Tags *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*

Write: 
1. Date of party 
2. Tag color option
3. Text that you wish


Soap made with skin safe colorants and fragrances. The soap contains goat milk, clear glycerin and Shea soap base. 

  


 
",,1.2 x 1.2,1.4,https://www.etsy.com/listing/893512144/baby-shower-set-of-25-pink-snowflakes?ref=shop_home_active_1,baby shower
26,"20 Baby Bottle Soaps Favors, 20 Soap for baby shower, 20  Mason Jar Soap Favors, From my soul to yours, Souvenirs bottles, New Mom Gift",20,"20 BOTTLES SOAP FAVORS

Soap bottles souvenirs are a great choice to thank your friends and guests for coming to celebrate your baby's arrival in this world.
These bottles soap made especially for you are the perfect gift for your guests.

Made with skin safe colorants and fragrances. The soap contains goat milk, clear glycerin and Shea soap base. 

  
Every adorable soap comes in a clear cellophane bag tied with a ribbon. ","Goat milk soap base, Clear glycerin soap base, Colorant, fragrance",1.2 x 2.5,,https://www.etsy.com/listing/707123691/20-baby-bottle-soaps-favors-20-soap-for?ref=shop_home_active_20&crt=1,baby shower
27,"6-102 pcs Lavender mini soaps, Mini soap favors, Lavender/Purple Floral Baby Shower Theme, Lavender Baby Shower, Set Lavender weddings",5,"Soap wedding favors are a great choice to thank your friends and guests after a long and important day.
These hearts shaped hearts made especially for you are the perfect gift for your guests.

6 Small cute heart-shaped soaps wonderfully suit as a gift for Baby Shower soap favors, Girl or Boy Baby Shower favors or Wedding favors. They will wonderfully decorate the bathroom / guest room or use them as a compliment. Soap is convenient for its small size or affordability. Please select the colors and smells from the list, if you have additional questions, please contact me!
You get 6 bars of soap, total weight 3 ounces

Made with skin-friendly dyes and fragrances. You can choose the aroma and color of the desired soap. The soap contains goat's milk, clear glycerin and Shea's soap base.
","Goat milk soap base, Clear glycerin soap base, Colorant, fragrance",1.5 x 0.5,0.5,https://www.etsy.com/listing/689973654/6-102-pcs-lavender-mini-soaps-mini-soap?ref=shop_home_active_23,flowers
28,"Teen stocking soap, Hand Gun Soap Party Favors, Mini Gun Soap, Pistol soap, Gun favors, Squirt gun",3,"This listing is for 1 mini soap gun. 

Water gun is an excellent choice for a theme party with video games, Nerf Gun's birthday, pool parties. It`s perfect gift for your dad, boyfriend, son, brother.

Soap measures about  inches and are flat on one side.

Made with skin safe colorants and fragrances. 

The soap contains glycerin and Shea soap base.","Glycerin soap base, Fragrance, colorants",3 x 2.5 x 0.7,1.77,https://www.etsy.com/listing/728432775/teen-stocking-soap-hand-gun-soap-party?ref=shop_home_active_6&crt=1,novelty/gag gift
29,"25 Pink Pumpkin Soap Party Favors, Fall Wedding Favors, Girl Baby Shower, Bridal, Gender Reveal, Mini pumpkin, Thanksgiving Soap Favors",50,"Look carefully at the size of the decorative soap!
Are you planning an autumn pink pumpkin baby or bridal shower for girl? These pink pumpkins looks so gentle and wonderful so you just want keep them in your hands and look at them all the time. Please your girlfriend or daughter with this gift for baby shower or any other fall special occasion.
Juicy and bright pumpkin soap is just perfect! Each soap is handmade by me to order according to your choice of colors and aromas. Your order includes 1 package with 25 soaps (pumpkins). You will be delighted with charming pumpkins! If you need a different color or quantity  just let me know your request through personal message.

If you need a different pumpkin color, let me know in the message.

*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- Packaging *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*

Each soap is packaged in a separately put into a little plastic bag and tied with a ribbon. Traditionally, I select the color of the tape for the color of the soap, if you need a certain color, let me know.

*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- *-*-*-*-*-* Tags *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*

Write: 
1. Date of party 
2. Tag color option
3. Text that you wish


Soap made with skin safe colorants and fragrances. The soap contains goat milk, clear glycerin and Shea soap base. 

  


 
","Goat milk soap base, Clear glycerin soap base, Colorant, fragrance",1.5 x 1.5,1,https://www.etsy.com/listing/733415497/25-pink-pumpkin-soap-party-favors-fall?ref=shop_home_active_4&bes=1,seasons
30,"Red Truck and Christmas Tree Soap, Christmas Truck and Tree Soap Favors, Drive through shower soap, Christmas Tree Truck",6,"Red Car and Christmas Tree Soap is an excellent filler for a Christmas stocking! Cute and wonderful snowy glossy full of winter landscape will successfully complement your gift to your close and dear people.
A car with a Christmas tree roof is the perfect little gift for friends at work. So adorable!

If you need a different color, let me know in the message.

*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- Packaging *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*

Each soap is packaged in a separately put into a little plastic bag and tied with a ribbon. Traditionally, I select the color of the tape for the color of the soap, if you need a certain color, let me know.

*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- *-*-*-*-*-* Tags *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*

Write: 
1. Date of party 
2. Tag color option
3. Text that you wish


Soap made with skin safe colorants and fragrances. The soap contains clear glycerin and Shea soap base. 

","Glycerin soap base, Colorants, Natural fragrance oils, Shea soap base",2 x 2.5,2,https://www.etsy.com/listing/744642610/red-truck-and-christmas-tree-soap?ref=shop_home_active_8&crt=1,holidays
31,"Snowflakes soap set, Baby shower set of 25 Pink Snowflakes and Hats Soap Party Favors, Girl Baby Shower, Winter baby shower set",50,"A set of hats and snowflakes is a wonderful choice for a gift to guests. A pretty knitted beanie with a bumbon and a snowflake add to the winter mood. 
If you need a different color, let me know in the message.

*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- Packaging *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*

Each soap is packaged in a separately put into a little plastic bag and tied with a ribbon. Traditionally, I select the color of the tape for the color of the soap, if you need a certain color, let me know.

*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- *-*-*-*-*-* Tags *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*

Write: 
1. Date of party 
2. Tag color option
3. Text that you wish


Soap made with skin safe colorants and fragrances. The soap contains goat milk, clear glycerin and Shea soap base. 

  


 
","Goat milk soap base, Clear glycerin soap base, Colorant, fragrance",1.2 x 1.2,1.4,https://www.etsy.com/listing/907449833/snowflakes-soap-set-baby-shower-set-of?ref=shop_home_active_36,seasons
32,"10 Lavender mini soaps, Lavender Mini soaps, Set Lavender weddings, Mini soap favors, Rustic wedding, Mini soap bars , Cheap Soap",6,"Set of 10+ small cute heart-shaped soaps wonderfully suit as a gift for Baby Shower soap favors, Girl or Boy Baby Shower favors or Wedding favors. They will wonderfully decorate the bathroom, guest room or use them as a compliment. Soap is convenient for its small size or affordability. Please select the colors and smells from the list, if you have additional questions, please contact me!

You get 10 bars of soap, total weight 3 ounces

Made with skin-friendly dyes and fragrances. You can choose the aroma and color of the desired soap. The soap contains goat's milk, clear glycerin and Shea's soap base.

 
","Goat milk soap base, Clear glycerin soap base, Colorant, fragrance",1.5 x 0.5,0.5,https://www.etsy.com/listing/714619833/10-lavender-mini-soaps-lavender-mini?ref=shop_home_active_2,flowers
33,"Daisy Soap Favors, Wedding soap favor, Daisy Bridal Shower Flower, Baby Shower favor, Spring Daisy, Party Favor",2.75,"Daisies are so funny, beautiful-looking flowers.
Daisies can be a wonderful gift in the Stocking stuffer for children!
Get this beautiful chamomile soap for your mom, girlfriend, daughter or any other fun occasions or new beginnings. Daisy symbolizes innocence and purity.

*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- Packaging *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*

Each soap is packaged in a separately put into a little plastic bag and tied with a ribbon. Traditionally, I select the color of the tape for the color of the soap, if you need a certain color, let me know.

Made with skin-friendly dyes and fragrances. You can choose the aroma and color of the desired soap. The soap contains goat's milk, clear glycerin and Shea's soap base.



If you need a different color, let me know in the message.","Goat milk soap base, Clear glycerin soap base, Colorant, fragrance",3 x 3,1.2,https://www.etsy.com/listing/682408620/daisy-soap-favors-wedding-soap-favor?ref=shop_home_active_32,flowers
34,"Stocking stuffer for toddler soap, Transformer birthday party favors soap, Kids Transformer birthday  soap, Transformers, Mini Party Favors",5,"Price is for one robot of your choice.

This Kids Robot Transformer Soap is amazing gift for your your child's Birthday party, Easter Basket Gift or any other occasion.
Made with skin safe colorants and fragrances. The soap contains goat milk, clear glycerin and Shea soap base. 
 
This adorable soap comes in a clear cellophane bag tied with a ribbon. ","Goat milk soap base, glycerin, Shea butter, fragrance, color",3.6 x 2,1.5,https://www.etsy.com/listing/677485216/stocking-stuffer-for-toddler-soap?ref=shop_home_active_22&crt=1,novelty/gag gift
35,"Carousel baby shower, Girl, Boy baby shower soap favors, Carousel party decoration, Carousel Horse Favors, Carousel birthday",2,"Look at this cute horse carousel! It looks great and resembles a small masterpiece.
You get 1 bar soap, each packed in a transparent bag and tied with a ribbon.

Your guests and friends will love this unique and beautiful soap gift.
Let me know how many nice roundabouts you need.","Goat soap base, Shea butter, Colorant, Fragrance",2.7 x 1.9,0.061,https://www.etsy.com/listing/693540689/carousel-baby-shower-girl-boy-baby?ref=shop_home_active_31,baby shower
36,"Easter basket stuffers, Easter Bunny, Easter Cute Bunny Soap Favors, Egg Soap",4,"Cute Easter bunny in a basket with eggs.
This charming soap is asking to be in your hands and wants to put a smile on your face.
Little rabbit is created from a safe glycerin base with the addition of hypoallergenic dyes and soft flavors for cleansing of the skin and your hands.
You can choose a monochromatic bunny or multi-colored, as in the first photo.



 
","Goat milk soap base, glycerin, Shea butter, fragrance, color", 2.8 x 2.8 x 2.0,4.2,https://www.etsy.com/listing/682850060/easter-basket-stuffers-easter-bunny?ref=shop_home_active_6,holidays
